"Submission ID","Performance Detail Submission ID","Created Date","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target","Serovar subtype","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Time to results incl sample prep (mins)","Connectivity Solution","FIND Evaluation","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples","Reference","Date of study","Type of data source"
"a0B6900001Ll52E","a266900000AkfxS","29/10/2021","India","South-East Asia","3bblackbio.com","3B Blackbio Biotech India Ltd.","TRUPCR ebolavirus Detection Kit","Ebola virus","Bundibugyo ebolavirus; Reston ebolavirus; Sudan ebolavirus; Tai Forest ebolavirus; Zaire ebolavirus","Regulatory Status Unknown","","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
"a0B6900001Ll580","a266900000AvieC","29/10/2021","Switzerland","Europe","abionic.com","Abionic","Emerging virus panel","Ebola virus","DENV not specified; Ebola spp.","Development","None","Molecular","RNA","Unknown","Lateral Flow Assay","Cartridge-based processing","Unknown","Manual","near Point of Care","Intended for professional use only","Unknown","30.00","","Unknown","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","No available data"
"a0B6900001Ll52F","a266900000Akg6O","29/10/2021","United States","Americas","4adi.com","Alpha Diagnostic International","Human Anti-Reston ebolavirus glycoprotein (REBOV GP) IgG ELISA Kit, 96 tests, Qu","Ebola virus","Reston ebolavirus","Regulatory Status Unknown","","Immunoassay","Antibody (serological)","Anti-EBOV IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52G","a266900000Akg6P","29/10/2021","United States","Americas","4adi.com","Alpha Diagnostic International","Human Anti-Sudan ebolavirus glycoprotein (GP) IgG ELISA Kit, 96 tests, Quantitat","Ebola virus","Sudan ebolavirus","Regulatory Status Unknown","","Immunoassay","Antibody (serological)","Anti-EBOV IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52H","a266900000Akg6Q","29/10/2021","United States","Americas","4adi.com","Alpha Diagnostic International","Human Anti-Sudan ebolavirus glycoprotein (GP) IgM ELISA Kit, 96 tests, Quantitat","Ebola virus","Sudan ebolavirus","Regulatory Status Unknown","","Immunoassay","Antibody (serological)","Anti-EBOV IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52I","a266900000Akg6R","29/10/2021","United States","Americas","4adi.com","Alpha Diagnostic International","Human Anti-Zaire ebolavirus glycoprotein (GP) IgG ELISA Kit, 5x96 tests, Quantit","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","","Immunoassay","Antibody (serological)","Anti-EBOV IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52J","a266900000Akg6S","29/10/2021","United States","Americas","4adi.com","Alpha Diagnostic International","Human Anti-Zaire ebolavirus glycoprotein (GP) IgG ELISA Kit, 96 tests, Quantitat","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","","Immunoassay","Antibody (serological)","Anti-EBOV IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52K","a266900000Akg6T","29/10/2021","United States","Americas","4adi.com","Alpha Diagnostic International","Human Anti-Zaire ebolavirus glycoprotein (GP) IgM ELISA Kit, 5x96 tests, Quantit","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","","Immunoassay","Antibody (serological)","Anti-EBOV IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52L","a266900000Akg6U","29/10/2021","United States","Americas","4adi.com","Alpha Diagnostic International","Human Anti-Zaire ebolavirus glycoprotein (GP) IgM ELISA Kit, 96 tests, Quantitat","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","","Immunoassay","Antibody (serological)","Anti-EBOV IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52M","a266900000Akg6V","29/10/2021","United States","Americas","4adi.com","Alpha Diagnostic International","Human Anti-Zaire ebolavirus Nucleoprotein (NP) IgG ELISA Kit, 96 tests, Quantita","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","","Immunoassay","Antibody (serological)","Anti-EBOV IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","","No","No","Yes, I would like the test to be made public on FIND’s test directory","Yes","","Company-Sponsored","","","","","","","",""
